region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,177,530532,0.33,21.45,36.22,14.84,18.95,48.41,25.45,3.22
北北基桃竹,2016,2,1313,669720,1.96,18.03,25.6,7.58,27.32,39.07,20.88,2.74
北北基桃竹,2016,3,1353,670145,2.02,19.53,28.14,8.69,25.08,41.48,22.89,2.51
北北基桃竹,2016,4,1211,663637,1.82,18.59,32.54,13.98,24.12,35.86,16.98,2.94
北北基桃竹,2016,5,1365,668088,2.04,17.46,26.43,9.04,26.0,23.42,9.76,2.16
北北基桃竹,2016,6,1831,674531,2.71,18.25,25.11,6.86,35.61,57.42,31.61,2.96
北北基桃竹,2016,7,645,646088,1.0,17.52,26.02,8.47,23.91,33.75,17.49,2.3
北北基桃竹,2016,8,1690,670329,2.52,16.84,23.8,7.02,32.92,53.13,21.27,2.05
北北基桃竹,2016,9,1548,672330,2.3,19.77,27.15,7.36,34.1,43.39,19.79,2.38
北北基桃竹,2016,10,1481,671495,2.21,23.01,35.59,12.57,22.05,46.32,25.37,3.19
北北基桃竹,2016,11,1472,674106,2.18,24.05,38.66,14.62,25.41,36.63,19.17,2.37
北北基桃竹,2016,12,1386,666596,2.08,22.15,37.69,15.57,30.21,46.85,24.2,2.53
北北基桃竹,2016,13,1338,663773,2.02,25.37,34.1,8.71,37.96,62.81,33.19,3.42
北北基桃竹,2016,14,1423,672779,2.12,22.7,31.29,8.61,26.14,65.44,38.8,3.76
北北基桃竹,2016,15,1126,669875,1.68,20.98,28.38,7.52,24.45,41.08,22.83,3.25
北北基桃竹,2016,16,1326,667707,1.99,21.08,30.47,9.5,30.69,44.43,21.63,3.07
北北基桃竹,2016,17,1300,670189,1.94,17.4,24.42,7.06,27.61,48.03,25.96,3.37
北北基桃竹,2016,18,1238,671491,1.84,19.63,25.68,6.07,39.43,62.4,34.15,3.59
北北基桃竹,2016,19,1157,671761,1.72,17.03,24.09,7.01,28.07,40.4,19.41,3.49
北北基桃竹,2016,20,1160,666596,1.74,14.88,19.68,4.81,34.84,35.13,15.89,2.61
北北基桃竹,2016,21,1123,666483,1.68,19.27,26.54,7.33,23.31,39.04,21.18,4.11
北北基桃竹,2016,22,1214,669773,1.81,14.09,21.02,6.97,21.65,33.85,13.86,3.1
北北基桃竹,2016,23,1033,666298,1.55,15.03,22.01,6.97,24.93,32.44,14.18,3.03
北北基桃竹,2016,24,872,660072,1.32,13.14,22.91,9.82,17.79,25.16,8.39,2.43
北北基桃竹,2016,25,1042,655260,1.59,14.54,21.53,7.01,22.14,29.69,11.94,3.34
北北基桃竹,2016,26,1082,665134,1.63,14.98,21.86,6.91,23.83,30.35,13.14,3.38
北北基桃竹,2016,27,952,666602,1.43,12.02,18.88,6.91,19.63,27.17,10.17,2.74
北北基桃竹,2016,28,889,657327,1.35,12.94,19.24,6.4,21.27,26.71,9.59,2.59
北北基桃竹,2016,29,1002,654819,1.53,13.85,21.48,7.64,20.0,33.17,13.5,2.75
北北基桃竹,2016,30,996,666342,1.49,15.01,20.75,5.71,29.82,37.53,20.01,3.96
